,,,,,,,,,,,,,,,,,,
Name,Date,,Model,Objective,Subobjective,N,Instance,,Cuts,Presolve,Heuristics,Runtime,,Value,Bound,MIP Gap,Sol Count,Node Count
SUspb-010-StripPacking-50-0,11-27-25,,SUspb,StripPacking,,50,0,,0,1,0,3600.1714729999999,,191.0,35.0,0.8167540000000000,2,5150.0
SUspb-111-StripPacking-50-0,11-27-25,,SUspb,StripPacking,,50,0,,1,1,1,3600.294567000000,,153.00000000000000,40.00000000000000,0.7385620000000001,10,1.0
,,,,,,,,,,,,,,,,,,
Name,Date,,Model,Objective,Subobjective,N,Instance,,Cuts,Presolve,Heuristics,Runtime,,Value,Bound,MIP Gap,Sol Count,Node Count
RUspb-010-StripPacking-10-0,11-27-25,,RUspb,StripPacking,,10,0,,0,1,0,0.6747730000000000,,39.00000000000000,39.00000000000000,0.0,7,7853.0
RUspb-111-StripPacking-10-0,11-27-25,,RUspb,StripPacking,,10,0,,1,1,1,6.959062000000000,,39.00000000000000,39.00000000000000,0.0,10,5224.0
,,,,,,,,,,,,,,,,,,
Name,Date,,Model,Objective,Subobjective,N,Instance,,Cuts,Presolve,Heuristics,Runtime,,Value,Bound,MIP Gap,Sol Count,Node Count
RUspb-010-StripPacking-15-0,11-27-25,,RUspb,StripPacking,,15,0,,0,1,0,61.01537600000000,,45.0,45.0,0.0,10,42281.0
RUspb-111-StripPacking-15-0,11-27-25,,RUspb,StripPacking,,15,0,,1,1,1,355.77056900000002,,45.0,45.0,0.0,10,26959.0
,,,,,,,,,,,,,,,,,,
Name,Date,,Model,Objective,Subobjective,N,Instance,,Cuts,Presolve,Heuristics,Runtime,,Value,Bound,MIP Gap,Sol Count,Node Count
RUspb-010-StripPacking-20-0,11-27-25,,RUspb,StripPacking,,20,0,,0,1,0,3600.0730540000000,,78.0,48.0,0.38461499999999998,10,472976.0
RUspb-111-StripPacking-20-0,11-27-25,,RUspb,StripPacking,,20,0,,1,1,1,3600.2722010000002,,80.00000000000000,48.00000000000000,0.4000000000000000,10,71267.0
,,,,,,,,,,,,,,,,,,
Name,Date,,Model,Objective,Subobjective,N,Instance,,Cuts,Presolve,Heuristics,Runtime,,Value,Bound,MIP Gap,Sol Count,Node Count
RUspb-010-StripPacking-25-0,11-27-25,,RUspb,StripPacking,,25,0,,0,1,0,3600.0781210000000,,72.0,34.0,0.5277780000000000,10,466210.0
RUspb-111-StripPacking-25-0,11-27-25,,RUspb,StripPacking,,25,0,,1,1,1,3600.1053160000001,,73.00000000000000,34.0,0.5342470000000000,10,41302.0
,,,,,,,,,,,,,,,,,,
Name,Date,,Model,Objective,Subobjective,N,Instance,,Cuts,Presolve,Heuristics,Runtime,,Value,Bound,MIP Gap,Sol Count,Node Count
RUspb-010-StripPacking-35-0,11-27-25,,RUspb,StripPacking,,35,0,,0,1,0,3600.1417409999999,,101.0,48.0,0.5247520000000000,10,134331.0
RUspb-111-StripPacking-35-0,11-27-25,,RUspb,StripPacking,,35,0,,1,1,1,3600.17560200000,,97.00000000000000,48.0,0.5051550000000000,10,13450.0
,,,,,,,,,,,,,,,,,,
Name,Date,,Model,Objective,Subobjective,N,Instance,,Cuts,Presolve,Heuristics,Runtime,,Value,Bound,MIP Gap,Sol Count,Node Count
RUspb-010-StripPacking-50-0,11-27-25,,RUspb,StripPacking,,50,0,,0,1,0,3600.205205000000,,191.6,35.0,0.8173280000000001,1,2574.0
RUspb-111-StripPacking-50-0,11-27-25,,RUspb,StripPacking,,50,0,,1,1,1,3600.055788000000,,171.0,40.00000000000000,0.7660820000000000,10,1.0
,,,,,,,,,,,,,,,,,,
Name,Date,,Model,Objective,Subobjective,N,Instance,,Cuts,Presolve,Heuristics,Runtime,,Value,Bound,MIP Gap,Sol Count,Node Count
HUspb-010-StripPacking-10-0,11-27-25,,HUspb,StripPacking,,10,0,,0,1,0,0.6561490000000000,,39.0,39.0,0.0,7,4904.0
HUspb-111-StripPacking-10-0,11-27-25,,HUspb,StripPacking,,10,0,,1,1,1,3.6945709999999998,,39.000000000000000,39.000000000000000,0.0,9,2579.0
,,,,,,,,,,,,,,,,,,
Name,Date,,Model,Objective,Subobjective,N,Instance,,Cuts,Presolve,Heuristics,Runtime,,Value,Bound,MIP Gap,Sol Count,Node Count
HUspb-010-StripPacking-15-0,11-27-25,,HUspb,StripPacking,,15,0,,0,1,0,167.423931000000,,45.0,45.0,0.0,10,101354.0
HUspb-111-StripPacking-15-0,11-27-25,,HUspb,StripPacking,,15,0,,1,1,1,294.8496620000000,,45.0,45.00000000000000,0.0,10,18025.0
,,,,,,,,,,,,,,,,,,
Name,Date,,Model,Objective,Subobjective,N,Instance,,Cuts,Presolve,Heuristics,Runtime,,Value,Bound,MIP Gap,Sol Count,Node Count
HUspb-010-StripPacking-20-0,11-27-25,,HUspb,StripPacking,,20,0,,0,1,0,3600.0555770000001,,78.0,46.000000000000000,0.4102560000000000,10,273400.0
