Name,Date,,Model,Submodel,Objective,Subobjective,N,,Cuts,Presolve,Heuristics,Runtime,,Value,Bound,MIP Gap,Sol Count,Node Count
RU-StripPacking-20,04/21/2024,,RU,,StripPacking,,20,,0,0,0,7.9595983028411865,,299.0,299.0,0.0,10,22935.0
,,,,,,,,,,,,,,,,,,
Name,Date,,Model,Submodel,Objective,Subobjective,N,,Cuts,Presolve,Heuristics,Runtime,,Value,Bound,MIP Gap,Sol Count,Node Count
RU-StripPacking-21,04/21/2024,,RU,,StripPacking,,21,,1,1,1,36.97662425041199,,282.0,282.0,0.0,10,6289.0
RU-StripPacking-21,04/21/2024,,RU,,StripPacking,,21,,1,0,0,8.969564199447632,,282.0,282.0,0.0,8,15257.0
RU-StripPacking-21,04/21/2024,,RU,,StripPacking,,21,,0,1,0,5.0171051025390625,,282.0,282.0,0.0,9,15130.0
RU-StripPacking-21,04/21/2024,,RU,,StripPacking,,21,,0,0,1,15.885929346084595,,282.0,282.0,0.0,9,7633.0
RU-StripPacking-21,04/21/2024,,RU,,StripPacking,,21,,1,1,0,7.349965810775757,,282.0,282.0,0.0,7,8681.0
RU-StripPacking-21,04/21/2024,,RU,,StripPacking,,21,,1,0,1,42.575976848602295,,282.0,282.0,0.0,10,7454.0
RU-StripPacking-21,04/21/2024,,RU,,StripPacking,,21,,0,1,1,46.77621912956238,,282.0,282.0,0.0,10,6806.0
RU-StripPacking-21,04/21/2024,,RU,,StripPacking,,21,,0,0,0,7.782975912094116,,282.0,282.0,0.0,10,19401.0
,,,,,,,,,,,,,,,,,,
Name,Date,,Model,Submodel,Objective,Subobjective,N,,Cuts,Presolve,Heuristics,Runtime,,Value,Bound,MIP Gap,Sol Count,Node Count
RU-StripPacking-22,04/21/2024,,RU,,StripPacking,,22,,1,1,1,3601.028879880905,,241.0,235.99999999999986,0.020746887966805568,10,500153.0
RU-StripPacking-22,04/21/2024,,RU,,StripPacking,,22,,1,0,0,3600.1633315086365,,241.0,235.0,0.024896265560165973,10,1305132.0
RU-StripPacking-22,04/21/2024,,RU,,StripPacking,,22,,0,1,0,3600.080185174942,,244.0,235.0,0.036885245901639344,10,3497129.0
RU-StripPacking-22,04/21/2024,,RU,,StripPacking,,22,,0,0,1,3600.180669784546,,242.99999997559996,233.0,0.041152263278206085,10,553998.0
RU-StripPacking-22,04/21/2024,,RU,,StripPacking,,22,,1,1,0,3600.7106993198395,,241.0,229.99999999999986,0.04564315352697154,10,459831.0
RU-StripPacking-22,04/22/2024,,RU,,StripPacking,,22,,1,0,1,3601.9876737594604,,241.0,229.9999999999999,0.045643153526971424,10,305497.0
RU-StripPacking-22,04/22/2024,,RU,,StripPacking,,22,,0,1,1,3600.783229112625,,243.99999997549997,229.99999999999986,0.05737704908567974,10,514158.0
RU-StripPacking-22,04/22/2024,,RU,,StripPacking,,22,,0,0,0,3302.0223157405853,,240.0,240.0,0.0,10,2838613.0
