1/1 feasible solution given by solution candidate storage, new primal bound 7.700000e+01

presolving:
presolving (0 rounds: 0 fast, 0 medium, 0 exhaustive):
 0 deleted vars, 0 deleted constraints, 0 added constraints, 0 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques, 0 implied integral variables (0 bin, 0 int, 0 cont)
presolved problem has 241 variables (210 bin, 0 int, 31 cont) and 1275 constraints
   1275 constraints of type <linear>
Presolving Time: 0.00
transformed 1/1 original solutions to the transformed problem space

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  0.0s|     1 |     0 |   186 |     - |  4542k |   0 | 241 |1275 |1275 |   0 |  0 |   0 |   0 | 5.000000e+01 | 7.700000e+01 |  54.00%| unknown
  0.0s|     1 |     2 |   190 |     - |  4601k |   0 | 241 |1275 |1275 |   0 |  0 |   0 |  17 | 5.000000e+01 | 7.700000e+01 |  54.00%| unknown
  0.1s|   100 |    99 |   924 |   7.5 |  4753k |  77 | 241 |1275 |1275 |   0 |  0 |   0 |  17 | 5.000000e+01 | 7.700000e+01 |  54.00%| unknown
  0.1s|   200 |   195 |  2248 |  10.4 |  4792k |  83 | 241 |1275 |1275 |   0 |  0 |   0 |  17 | 5.000000e+01 | 7.700000e+01 |  54.00%| unknown
  0.2s|   300 |   293 |  2878 |   9.0 |  5355k |  89 | 241 |1275 |1275 |   0 |  0 |   0 |  17 | 5.000000e+01 | 7.700000e+01 |  54.00%| unknown
  0.2s|   400 |   389 |  3416 |   8.1 |  5482k |  89 | 241 |1275 |1275 |   0 |  0 |   0 |  17 | 5.000000e+01 | 7.700000e+01 |  54.00%| unknown
  0.3s|   500 |   483 |  4109 |   7.9 |  5613k |  89 | 241 |1275 |1275 |   0 |  0 |   0 |  17 | 5.000000e+01 | 7.700000e+01 |  54.00%| unknown
  0.3s|   600 |   577 |  4913 |   7.9 |  5613k | 109 | 241 |1275 |1275 |   0 |  0 |   0 |  17 | 5.000000e+01 | 7.700000e+01 |  54.00%| unknown
  0.4s|   700 |   669 |  5689 |   7.9 |  5646k | 111 | 241 |1275 |1275 |   0 |  0 |   0 |  17 | 5.000000e+01 | 7.700000e+01 |  54.00%| unknown
  0.4s|   800 |   767 |  6320 |   7.7 |  5900k | 111 | 241 |1275 |1275 |   0 |  0 |   0 |  17 | 5.000000e+01 | 7.700000e+01 |  54.00%| unknown
  0.5s|   900 |   863 |  6986 |   7.6 |  5900k | 111 | 241 |1275 |1275 |   0 |  0 |   0 |  17 | 5.000000e+01 | 7.700000e+01 |  54.00%| unknown
  0.5s|  1000 |   961 |  7585 |   7.4 |  5933k | 111 | 241 |1275 |1275 |   0 |  0 |   0 |  17 | 5.000000e+01 | 7.700000e+01 |  54.00%| unknown
  0.5s|  1100 |  1061 |  8258 |   7.3 |  5933k | 111 | 241 |1275 |1275 |   0 |  0 |   0 |  17 | 5.000000e+01 | 7.700000e+01 |  54.00%| unknown
  0.6s|  1200 |  1153 |  8944 |   7.3 |  5933k | 111 | 241 |1275 |1275 |   0 |  0 |   0 |  17 | 5.000000e+01 | 7.700000e+01 |  54.00%| unknown
