1/1 feasible solution given by solution candidate storage, new primal bound 7.810000e+01

presolving:
presolving (0 rounds: 0 fast, 0 medium, 0 exhaustive):
 0 deleted vars, 0 deleted constraints, 0 added constraints, 0 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques, 0 implied integral variables (0 bin, 0 int, 0 cont)
presolved problem has 346 variables (210 bin, 0 int, 136 cont) and 1905 constraints
   1905 constraints of type <linear>
Presolving Time: 0.00
transformed 1/1 original solutions to the transformed problem space

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  0.0s|     1 |     0 |   361 |     - |  6913k |   0 | 346 |1905 |1905 |   0 |  0 |   0 |   0 | 4.500000e+01 | 7.810000e+01 |  73.56%| unknown
  0.1s|     1 |     2 |   378 |     - |  7021k |   0 | 346 |1905 |1905 |   0 |  0 |   0 |  37 | 4.500000e+01 | 7.810000e+01 |  73.56%| unknown
  0.2s|   100 |    99 |  1213 |   8.6 |  7179k |  83 | 346 |1905 |1905 |   0 |  0 |   0 |  37 | 4.500000e+01 | 7.810000e+01 |  73.56%| unknown
  0.2s|   200 |   187 |  2387 |  10.2 |  7319k |  85 | 346 |1905 |1905 |   0 |  0 |   0 |  37 | 4.500000e+01 | 7.810000e+01 |  73.56%| unknown
  0.3s|   300 |   271 |  3270 |   9.7 |  7650k |  85 | 346 |1905 |1905 |   0 |  0 |   0 |  37 | 4.500000e+01 | 7.810000e+01 |  73.56%| unknown
  0.4s|   400 |   355 |  4236 |   9.7 |  7716k |  85 | 346 |1905 |1905 |   0 |  0 |   0 |  37 | 4.500000e+01 | 7.810000e+01 |  73.56%| unknown
  0.5s|   500 |   441 |  5699 |  10.7 |  7747k |  85 | 346 |1905 |1905 |   0 |  0 |   0 |  37 | 4.500000e+01 | 7.810000e+01 |  73.56%| unknown
  0.5s|   600 |   517 |  6828 |  10.8 |  7747k |  85 | 346 |1905 |1905 |   0 |  0 |   0 |  37 | 4.500000e+01 | 7.810000e+01 |  73.56%| unknown
  0.6s|   700 |   593 |  7752 |  10.6 |  8025k |  85 | 346 |1905 |1905 |   0 |  0 |   0 |  37 | 4.500000e+01 | 7.810000e+01 |  73.56%| unknown
  0.7s|   800 |   667 |  8593 |  10.3 |  8148k |  85 | 346 |1905 |1905 |   0 |  0 |   0 |  37 | 4.500000e+01 | 7.810000e+01 |  73.56%| unknown
  0.8s|   900 |   761 |  9822 |  10.5 |  8210k |  85 | 346 |1905 |1905 |   0 |  0 |   0 |  37 | 4.500000e+01 | 7.810000e+01 |  73.56%| unknown
  0.8s|  1000 |   851 | 10543 |  10.2 |  8341k |  85 | 346 |1905 |1905 |   0 |  0 |   0 |  37 | 4.500000e+01 | 7.810000e+01 |  73.56%| unknown
  0.9s|  1100 |   945 | 11299 |  10.0 |  8341k |  85 | 346 |1905 |1905 |   0 |  0 |   0 |  37 | 4.500000e+01 | 7.810000e+01 |  73.56%| unknown
