1/1 feasible solution given by solution candidate storage, new primal bound 7.810000e+01

presolving:
presolving (0 rounds: 0 fast, 0 medium, 0 exhaustive):
 0 deleted vars, 0 deleted constraints, 0 added constraints, 0 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques, 0 implied integral variables (0 bin, 0 int, 0 cont)
presolved problem has 451 variables (420 bin, 0 int, 31 cont) and 1590 constraints
   1590 constraints of type <linear>
Presolving Time: 0.00
transformed 1/1 original solutions to the transformed problem space

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  0.0s|     1 |     0 |   447 |     - |  6755k |   0 | 451 |1590 |1590 |   0 |  0 |   0 |   0 | 4.500000e+01 | 7.810000e+01 |  73.56%| unknown
  0.1s|     1 |     2 |   588 |     - |  6852k |   0 | 451 |1590 |1590 |   0 |  0 |   0 |  19 | 4.500000e+01 | 7.810000e+01 |  73.56%| unknown
  0.1s|   100 |    87 |  1625 |  11.9 |  7007k |  53 | 451 |1590 |1590 |   0 |  0 |   0 |  19 | 4.500000e+01 | 7.810000e+01 |  73.56%| unknown
  0.2s|   200 |   163 |  2945 |  12.6 |  7122k |  53 | 451 |1590 |1590 |   0 |  0 |   0 |  19 | 4.500000e+01 | 7.810000e+01 |  73.56%| unknown
  0.3s|   300 |   235 |  4334 |  13.0 |  7152k |  64 | 451 |1590 |1590 |   0 |  0 |   0 |  19 | 4.500000e+01 | 7.810000e+01 |  73.56%| unknown
  0.4s|   400 |   307 |  5289 |  12.1 |  7382k |  73 | 451 |1590 |1590 |   0 |  0 |   0 |  19 | 4.500000e+01 | 7.810000e+01 |  73.56%| unknown
  0.4s|   500 |   373 |  6360 |  11.8 |  7443k |  73 | 451 |1590 |1590 |   0 |  0 |   0 |  19 | 4.500000e+01 | 7.810000e+01 |  73.56%| unknown
  0.5s|   600 |   431 |  7451 |  11.7 |  7443k |  73 | 451 |1590 |1590 |   0 |  0 |   0 |  19 | 4.500000e+01 | 7.810000e+01 |  73.56%| unknown
  0.6s|   700 |   499 |  8501 |  11.5 |  7476k |  78 | 451 |1590 |1590 |   0 |  0 |   0 |  19 | 4.500000e+01 | 7.810000e+01 |  73.56%| unknown
  0.6s|   800 |   541 |  9744 |  11.6 |  7508k |  78 | 451 |1590 |1590 |   0 |  0 |   0 |  19 | 4.500000e+01 | 7.810000e+01 |  73.56%| unknown
