1/1 feasible solution given by solution candidate storage, new primal bound 9.920000e+01

presolving:
presolving (0 rounds: 0 fast, 0 medium, 0 exhaustive):
 0 deleted vars, 0 deleted constraints, 0 added constraints, 0 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques, 0 implied integral variables (0 bin, 0 int, 0 cont)
presolved problem has 1251 variables (1200 bin, 0 int, 51 cont) and 4525 constraints
   4525 constraints of type <linear>
Presolving Time: 0.00
transformed 1/1 original solutions to the transformed problem space

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  0.0s|     1 |     0 |  1236 |     - |    16M |   0 |1251 |4525 |4525 |   0 |  0 |   0 |   0 | 4.300000e+01 | 9.920000e+01 | 130.70%| unknown
  1.5s|     1 |     2 |  1605 |     - |    17M |   0 |1251 |4525 |4525 |   0 |  0 |   0 |  37 | 4.300000e+01 | 9.920000e+01 | 130.70%| unknown
  9.9s|   100 |   101 |210814 |2116.9 |    17M |  15 |1251 |4525 |4525 |   0 |  0 |   0 |  37 | 4.300000e+01 | 9.920000e+01 | 130.70%| unknown
 16.8s|   200 |   201 |391599 |1961.6 |    17M |  19 |1251 |4525 |4525 |   0 |  0 |   0 |  37 | 4.300000e+01 | 9.920000e+01 | 130.70%| unknown
 24.3s|   300 |   301 |590823 |1971.9 |    17M |  31 |1251 |4525 |4525 |   0 |  0 |   0 |  37 | 4.300000e+01 | 9.920000e+01 | 130.70%| unknown
 31.3s|   400 |   399 |777927 |1946.6 |    17M |  41 |1251 |4525 |4525 |   0 |  0 |   0 |  37 | 4.300000e+01 | 9.920000e+01 | 130.70%| unknown
 39.1s|   500 |   499 |983801 |1969.1 |    18M |  53 |1251 |4525 |4525 |   0 |  0 |   0 |  37 | 4.300000e+01 | 9.920000e+01 | 130.70%| unknown
 44.1s|   600 |   593 |  1129k|1884.3 |    18M |  73 |1251 |4525 |4525 |   0 |  0 |   0 |  37 | 4.300000e+01 | 9.920000e+01 | 130.70%| unknown
 52.4s|   700 |   655 |  1344k|1921.2 |    18M |  73 |1251 |4525 |4525 |   0 |  0 |   0 |  37 | 4.300000e+01 | 9.920000e+01 | 130.70%| unknown
 52.6s|   800 |   729 |  1346k|1683.3 |    18M | 125 |1251 |4525 |4525 |   0 |  0 |   0 |  37 | 4.300000e+01 | 9.920000e+01 | 130.70%| unknown
 52.9s|   900 |   801 |  1348k|1498.8 |    18M | 131 |1251 |4525 |4525 |   0 |  0 |   0 |  37 | 4.300000e+01 | 9.920000e+01 | 130.70%| unknown
 53.1s|  1000 |   835 |  1350k|1350.9 |    18M | 131 |1251 |4525 |4525 |   0 |  0 |   0 |  37 | 4.300000e+01 | 9.920000e+01 | 130.70%| unknown
 53.2s|  1100 |   883 |  1352k|1229.9 |    19M | 137 |1251 |4525 |4525 |   0 |  0 |   0 |  37 | 4.300000e+01 | 9.920000e+01 | 130.70%| unknown
 53.5s|  1200 |   943 |  1355k|1129.7 |    19M | 137 |1251 |4525 |4525 |   0 |  0 |   0 |  37 | 4.300000e+01 | 9.920000e+01 | 130.70%| unknown
 53.7s|  1300 |  1019 |  1357k|1044.4 |    19M | 137 |1251 |4525 |4525 |   0 |  0 |   0 |  37 | 4.300000e+01 | 9.920000e+01 | 130.70%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
 53.9s|  1400 |  1093 |  1361k| 972.5 |    19M | 137 |1251 |4525 |4525 |   0 |  0 |   0 |  37 | 4.300000e+01 | 9.920000e+01 | 130.70%| unknown
 54.2s|  1500 |  1165 |  1364k| 909.7 |    20M | 137 |1251 |4525 |4525 |   0 |  0 |   0 |  37 | 4.300000e+01 | 9.920000e+01 | 130.70%| unknown
 54.4s|  1600 |  1247 |  1368k| 854.9 |    20M | 137 |1251 |4525 |4525 |   0 |  0 |   0 |  37 | 4.300000e+01 | 9.920000e+01 | 130.70%| unknown
 54.7s|  1700 |  1341 |  1371k| 806.8 |    20M | 137 |1251 |4525 |4525 |   0 |  0 |   0 |  37 | 4.300000e+01 | 9.920000e+01 | 130.70%| unknown
