1/1 feasible solution given by solution candidate storage, new primal bound 6.210000e+01

presolving:
presolving (0 rounds: 0 fast, 0 medium, 0 exhaustive):
 0 deleted vars, 0 deleted constraints, 0 added constraints, 0 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques, 0 implied integral variables (0 bin, 0 int, 0 cont)
presolved problem has 241 variables (210 bin, 0 int, 31 cont) and 1275 constraints
   1275 constraints of type <linear>
Presolving Time: 0.00
transformed 1/1 original solutions to the transformed problem space

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  0.0s|     1 |     0 |   202 |     - |  4542k |   0 | 241 |1275 |1275 |   0 |  0 |   0 |   0 | 3.000000e+01 | 6.210000e+01 | 107.00%| unknown
  0.0s|     1 |     2 |   206 |     - |  4616k |   0 | 241 |1275 |1275 |   0 |  0 |   0 |  36 | 3.000000e+01 | 6.210000e+01 | 107.00%| unknown
  0.1s|   100 |   101 |  1091 |   9.0 |  4753k |  73 | 241 |1275 |1275 |   0 |  0 |   0 |  36 | 3.000000e+01 | 6.210000e+01 | 107.00%| unknown
  0.2s|   200 |   197 |  2152 |   9.8 |  4847k |  77 | 241 |1275 |1275 |   0 |  0 |   0 |  36 | 3.000000e+01 | 6.210000e+01 | 107.00%| unknown
  0.2s|   300 |   291 |  3021 |   9.4 |  5355k | 113 | 241 |1275 |1275 |   0 |  0 |   0 |  36 | 3.000000e+01 | 6.210000e+01 | 107.00%| unknown
  0.3s|   400 |   387 |  4358 |  10.4 |  5483k | 113 | 241 |1275 |1275 |   0 |  0 |   0 |  36 | 3.000000e+01 | 6.210000e+01 | 107.00%| unknown
  0.3s|   500 |   481 |  5978 |  11.6 |  5614k | 113 | 241 |1275 |1275 |   0 |  0 |   0 |  36 | 3.000000e+01 | 6.210000e+01 | 107.00%| unknown
  0.4s|   600 |   573 |  6991 |  11.3 |  5614k | 113 | 241 |1275 |1275 |   0 |  0 |   0 |  36 | 3.000000e+01 | 6.210000e+01 | 107.00%| unknown
  0.4s|   700 |   671 |  8368 |  11.7 |  5646k | 113 | 241 |1275 |1275 |   0 |  0 |   0 |  36 | 3.000000e+01 | 6.210000e+01 | 107.00%| unknown
  0.5s|   800 |   761 | 10467 |  12.8 |  5901k | 113 | 241 |1275 |1275 |   0 |  0 |   0 |  36 | 3.000000e+01 | 6.210000e+01 | 107.00%| unknown
  0.6s|   900 |   859 | 11721 |  12.8 |  5901k | 113 | 241 |1275 |1275 |   0 |  0 |   0 |  36 | 3.000000e+01 | 6.210000e+01 | 107.00%| unknown
  0.6s|  1000 |   941 | 12983 |  12.8 |  5933k | 113 | 241 |1275 |1275 |   0 |  0 |   0 |  36 | 3.000000e+01 | 6.210000e+01 | 107.00%| unknown
  0.7s|  1100 |  1029 | 14035 |  12.6 |  5933k | 113 | 241 |1275 |1275 |   0 |  0 |   0 |  36 | 3.000000e+01 | 6.210000e+01 | 107.00%| unknown
  0.7s|  1200 |  1123 | 15323 |  12.6 |  5933k | 113 | 241 |1275 |1275 |   0 |  0 |   0 |  36 | 3.000000e+01 | 6.210000e+01 | 107.00%| unknown
  0.8s|  1300 |  1209 | 17158 |  13.1 |  5933k | 113 | 241 |1275 |1275 |   0 |  0 |   0 |  36 | 3.000000e+01 | 6.210000e+01 | 107.00%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  0.8s|  1400 |  1291 | 18055 |  12.8 |  5998k | 113 | 241 |1275 |1275 |   0 |  0 |   0 |  36 | 3.000000e+01 | 6.210000e+01 | 107.00%| unknown
  0.9s|  1500 |  1369 | 19274 |  12.7 |  6260k | 113 | 241 |1275 |1275 |   0 |  0 |   0 |  36 | 3.000000e+01 | 6.210000e+01 | 107.00%| unknown
  0.9s|  1600 |  1447 | 20373 |  12.6 |  6389k | 113 | 241 |1275 |1275 |   0 |  0 |   0 |  36 | 3.000000e+01 | 6.210000e+01 | 107.00%| unknown
