1/1 feasible solution given by solution candidate storage, new primal bound 9.790000e+01

presolving:
presolving (0 rounds: 0 fast, 0 medium, 0 exhaustive):
 0 deleted vars, 0 deleted constraints, 0 added constraints, 0 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques, 0 implied integral variables (0 bin, 0 int, 0 cont)
presolved problem has 1251 variables (1200 bin, 0 int, 51 cont) and 5725 constraints
   5725 constraints of type <linear>
Presolving Time: 0.00
transformed 1/1 original solutions to the transformed problem space

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  0.0s|     1 |     0 |  1385 |     - |    17M |   0 |1251 |5725 |5725 |   0 |  0 |   0 |   0 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  0.4s|     1 |     2 |  1761 |     - |    18M |   0 |1251 |5725 |5725 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  1.0s|   100 |   101 | 18105 | 168.9 |    18M |  17 |1251 |5725 |5725 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  1.5s|   200 |   201 | 26889 | 128.2 |    18M |  25 |1251 |5725 |5725 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  1.9s|   300 |   301 | 34898 | 112.1 |    19M |  33 |1251 |5725 |5725 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  2.4s|   400 |   385 | 45043 | 109.4 |    19M |  59 |1251 |5725 |5725 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  2.7s|   500 |   469 | 52360 | 102.2 |    19M |  87 |1251 |5725 |5725 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  3.1s|   600 |   527 | 59475 |  97.0 |    20M |  87 |1251 |5725 |5725 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  3.6s|   700 |   597 | 69455 |  97.4 |    21M |  87 |1251 |5725 |5725 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  4.0s|   800 |   657 | 79115 |  97.3 |    21M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  4.4s|   900 |   711 | 88979 |  97.4 |    21M | 112 |1251 |5725 |5725 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  4.9s|  1000 |   779 | 98395 |  97.1 |    21M | 126 |1251 |5725 |5725 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  5.4s|  1100 |   849 |109702 |  98.6 |    21M | 126 |1251 |5725 |5725 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  5.8s|  1200 |   917 |115347 |  95.0 |    21M | 126 |1251 |5725 |5725 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  6.1s|  1300 |   993 |122193 |  93.0 |    21M | 131 |1251 |5725 |5725 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  6.6s|  1400 |  1067 |131689 |  93.1 |    22M | 131 |1251 |5725 |5725 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  7.0s|  1500 |  1153 |139206 |  91.9 |    23M | 131 |1251 |5725 |5725 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  7.4s|  1600 |  1249 |146362 |  90.7 |    23M | 131 |1251 |5725 |5725 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
  7.8s|  1700 |  1325 |157105 |  91.7 |    23M | 131 |1251 |5725 |5725 |   0 |  0 |   0 |  37 | 4.100000e+01 | 9.790000e+01 | 138.78%| unknown
