1/1 feasible solution given by solution candidate storage, new primal bound 1.062000e+02

presolving:
presolving (0 rounds: 0 fast, 0 medium, 0 exhaustive):
 0 deleted vars, 0 deleted constraints, 0 added constraints, 0 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques, 0 implied integral variables (0 bin, 0 int, 0 cont)
presolved problem has 1251 variables (1200 bin, 0 int, 51 cont) and 3925 constraints
   3925 constraints of type <linear>
Presolving Time: 0.00
transformed 1/1 original solutions to the transformed problem space

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  0.0s|     1 |     0 |  1438 |     - |    13M |   0 |1251 |3925 |3925 |   0 |  0 |   0 |   0 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
  0.2s|     1 |     2 |  1870 |     - |    14M |   0 |1251 |3925 |3925 |   0 |  0 |   0 |  20 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
  0.5s|   100 |    79 |  9875 |  85.2 |    14M |  53 |1251 |3925 |3925 |   0 |  0 |   0 |  20 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
  0.8s|   200 |   117 | 15648 |  71.4 |    14M |  59 |1251 |3925 |3925 |   0 |  0 |   0 |  20 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
  1.1s|   300 |   155 | 21151 |  65.9 |    14M |  65 |1251 |3925 |3925 |   0 |  0 |   0 |  20 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
  1.3s|   400 |   181 | 24765 |  58.5 |    14M |  65 |1251 |3925 |3925 |   0 |  0 |   0 |  20 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
  1.5s|   500 |   223 | 26425 |  50.1 |    14M |  73 |1251 |3925 |3925 |   0 |  0 |   0 |  20 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
  1.6s|   600 |   247 | 28692 |  45.5 |    14M |  73 |1251 |3925 |3925 |   0 |  0 |   0 |  20 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
  1.9s|   700 |   289 | 33969 |  46.5 |    15M |  73 |1251 |3925 |3925 |   0 |  0 |   0 |  20 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
  2.1s|   800 |   319 | 37205 |  44.8 |    15M |  73 |1251 |3925 |3925 |   0 |  0 |   0 |  20 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
