1/1 feasible solution given by solution candidate storage, new primal bound 1.062000e+02

presolving:
presolving (0 rounds: 0 fast, 0 medium, 0 exhaustive):
 0 deleted vars, 0 deleted constraints, 0 added constraints, 0 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques, 0 implied integral variables (0 bin, 0 int, 0 cont)
presolved problem has 1251 variables (1200 bin, 0 int, 51 cont) and 1525 constraints
   1525 constraints of type <linear>
Presolving Time: 0.00
transformed 1/1 original solutions to the transformed problem space

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  0.0s|     1 |     0 |   601 |     - |  9350k |   0 |1251 |1525 |1525 |   0 |  0 |   0 |   0 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
  0.1s|     1 |     2 |   654 |     - |  9579k |   0 |1251 |1525 |1525 |   0 |  0 |   0 |  53 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
  0.2s|   100 |    95 |  1946 |  13.6 |    10M |  48 |1251 |1525 |1525 |   0 |  0 |   0 |  53 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
  0.3s|   200 |   143 |  2882 |  11.5 |    10M |  61 |1251 |1525 |1525 |   0 |  0 |   0 |  53 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
  0.4s|   300 |   177 |  3781 |  10.6 |    10M |  61 |1251 |1525 |1525 |   0 |  0 |   0 |  53 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
  0.5s|   400 |   249 |  4898 |  10.8 |    10M |  61 |1251 |1525 |1525 |   0 |  0 |   0 |  53 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
  0.6s|   500 |   337 |  6462 |  11.7 |    10M |  61 |1251 |1525 |1525 |   0 |  0 |   0 |  53 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
  0.7s|   600 |   387 |  7419 |  11.4 |    10M |  63 |1251 |1525 |1525 |   0 |  0 |   0 |  53 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
  0.7s|   700 |   467 |  8308 |  11.0 |    10M |  64 |1251 |1525 |1525 |   0 |  0 |   0 |  53 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
  0.8s|   800 |   567 |  9259 |  10.8 |    10M |  64 |1251 |1525 |1525 |   0 |  0 |   0 |  53 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
  0.9s|   900 |   655 | 10534 |  11.0 |    11M |  64 |1251 |1525 |1525 |   0 |  0 |   0 |  53 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
  1.0s|  1000 |   733 | 11636 |  11.0 |    11M |  73 |1251 |1525 |1525 |   0 |  0 |   0 |  53 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
  1.1s|  1100 |   797 | 12691 |  11.0 |    11M |  74 |1251 |1525 |1525 |   0 |  0 |   0 |  53 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
  1.2s|  1200 |   873 | 14015 |  11.2 |    11M |  74 |1251 |1525 |1525 |   0 |  0 |   0 |  53 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
  1.3s|  1300 |   945 | 15201 |  11.2 |    11M |  74 |1251 |1525 |1525 |   0 |  0 |   0 |  53 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  1.4s|  1400 |  1025 | 16510 |  11.4 |    11M |  74 |1251 |1525 |1525 |   0 |  0 |   0 |  53 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
  1.5s|  1500 |  1125 | 18332 |  11.8 |    11M |  74 |1251 |1525 |1525 |   0 |  0 |   0 |  53 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
