1/1 feasible solution given by solution candidate storage, new primal bound 7.810000e+01

presolving:
presolving (0 rounds: 0 fast, 0 medium, 0 exhaustive):
 0 deleted vars, 0 deleted constraints, 0 added constraints, 0 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques, 0 implied integral variables (0 bin, 0 int, 0 cont)
presolved problem has 451 variables (420 bin, 0 int, 31 cont) and 2010 constraints
   2010 constraints of type <linear>
Presolving Time: 0.00
transformed 1/1 original solutions to the transformed problem space

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  0.0s|     1 |     0 |   449 |     - |  7077k |   0 | 451 |2010 |2010 |   0 |  0 |   0 |   0 | 4.500000e+01 | 7.810000e+01 |  73.56%| unknown
  0.1s|     1 |     2 |   590 |     - |  7183k |   0 | 451 |2010 |2010 |   0 |  0 |   0 |  19 | 4.500000e+01 | 7.810000e+01 |  73.56%| unknown
  0.1s|   100 |    83 |  1529 |  10.9 |  7829k |  60 | 451 |2010 |2010 |   0 |  0 |   0 |  19 | 4.500000e+01 | 7.810000e+01 |  73.56%| unknown
  0.2s|   200 |   157 |  2642 |  11.0 |  7957k |  82 | 451 |2010 |2010 |   0 |  0 |   0 |  19 | 4.500000e+01 | 7.810000e+01 |  73.56%| unknown
  0.3s|   300 |   215 |  3642 |  10.7 |  8004k |  84 | 451 |2010 |2010 |   0 |  0 |   0 |  19 | 4.500000e+01 | 7.810000e+01 |  73.56%| unknown
  0.4s|   400 |   273 |  4667 |  10.6 |  8069k |  84 | 451 |2010 |2010 |   0 |  0 |   0 |  19 | 4.500000e+01 | 7.810000e+01 |  73.56%| unknown
  0.5s|   500 |   325 |  5818 |  10.8 |  8309k |  84 | 451 |2010 |2010 |   0 |  0 |   0 |  19 | 4.500000e+01 | 7.810000e+01 |  73.56%| unknown
  0.5s|   600 |   381 |  6840 |  10.7 |  8371k |  84 | 451 |2010 |2010 |   0 |  0 |   0 |  19 | 4.500000e+01 | 7.810000e+01 |  73.56%| unknown
  0.6s|   700 |   451 | 10024 |  13.7 |  8373k |  84 | 451 |2010 |2010 |   0 |  0 |   0 |  19 | 4.500000e+01 | 7.810000e+01 |  73.56%| unknown
  0.8s|   800 |   535 | 15931 |  19.4 |  8470k |  84 | 451 |2010 |2010 |   0 |  0 |   0 |  19 | 4.500000e+01 | 7.810000e+01 |  73.56%| unknown
  1.0s|   900 |   613 | 23359 |  25.5 |  8730k |  84 | 451 |2010 |2010 |   0 |  0 |   0 |  19 | 4.500000e+01 | 7.810000e+01 |  73.56%| unknown
  1.2s|  1000 |   685 | 30667 |  30.2 |  8853k |  84 | 451 |2010 |2010 |   0 |  0 |   0 |  19 | 4.500000e+01 | 7.810000e+01 |  73.56%| unknown
  1.3s|  1100 |   771 | 37419 |  33.6 |  8853k |  84 | 451 |2010 |2010 |   0 |  0 |   0 |  19 | 4.500000e+01 | 7.810000e+01 |  73.56%| unknown
  1.5s|  1200 |   845 | 41874 |  34.5 |  8853k |  84 | 451 |2010 |2010 |   0 |  0 |   0 |  19 | 4.500000e+01 | 7.810000e+01 |  73.56%| unknown
  1.6s|  1300 |   921 | 47126 |  35.9 |  9115k |  84 | 451 |2010 |2010 |   0 |  0 |   0 |  19 | 4.500000e+01 | 7.810000e+01 |  73.56%|   0.29%
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  1.7s|  1400 |   991 | 50636 |  35.9 |  9115k |  84 | 451 |2010 |2010 |   0 |  0 |   0 |  19 | 4.500000e+01 | 7.810000e+01 |  73.56%|   0.29%
  1.8s|  1500 |  1041 | 52837 |  34.9 |  9115k |  84 | 451 |2010 |2010 |   0 |  0 |   0 |  19 | 4.500000e+01 | 7.810000e+01 |  73.56%|   0.29%
  1.9s|  1600 |  1077 | 55209 |  34.2 |  9180k |  84 | 451 |2010 |2010 |   0 |  0 |   0 |  19 | 4.500000e+01 | 7.810000e+01 |  73.56%|   0.29%
  2.0s|  1700 |  1113 | 57291 |  33.5 |  9180k |  84 | 451 |2010 |2010 |   0 |  0 |   0 |  19 | 4.500000e+01 | 7.810000e+01 |  73.56%|   0.29%
  2.1s|  1800 |  1163 | 59349 |  32.7 |  9696k |  84 | 451 |2010 |2010 |   0 |  0 |   0 |  19 | 4.500000e+01 | 7.810000e+01 |  73.56%|   0.29%
  2.2s|  1900 |  1219 | 60514 |  31.6 |  9696k |  95 | 451 |2010 |2010 |   0 |  0 |   0 |  19 | 4.500000e+01 | 7.810000e+01 |  73.56%|   0.29%
  2.2s|  2000 |  1265 | 61934 |  30.8 |  9696k |  95 | 451 |2010 |2010 |   0 |  0 |   0 |  19 | 4.500000e+01 | 7.810000e+01 |  73.56%|   0.29%
  2.3s|  2100 |  1315 | 63580 |  30.1 |  9696k |  95 | 451 |2010 |2010 |   0 |  0 |   0 |  19 | 4.500000e+01 | 7.810000e+01 |  73.56%|   0.29%
  2.4s|  2200 |  1361 | 64982 |  29.3 |    10M |  95 | 451 |2010 |2010 |   0 |  0 |   0 |  19 | 4.500000e+01 | 7.810000e+01 |  73.56%|   0.29%
  2.5s|  2300 |  1407 | 66707 |  28.8 |    10M |  95 | 451 |2010 |2010 |   0 |  0 |   0 |  19 | 4.500000e+01 | 7.810000e+01 |  73.56%|   0.29%
  2.6s|  2400 |  1471 | 69098 |  28.6 |    10M |  95 | 451 |2010 |2010 |   0 |  0 |   0 |  19 | 4.500000e+01 | 7.810000e+01 |  73.56%|   0.29%
  2.6s|  2500 |  1521 | 70996 |  28.2 |    10M |  95 | 451 |2010 |2010 |   0 |  0 |   0 |  19 | 4.500000e+01 | 7.810000e+01 |  73.56%|   0.29%
  2.7s|  2600 |  1585 | 72986 |  27.9 |    10M |  95 | 451 |2010 |2010 |   0 |  0 |   0 |  19 | 4.500000e+01 | 7.810000e+01 |  73.56%|   0.29%
