1/1 feasible solution given by solution candidate storage, new primal bound 6.210000e+01

presolving:
presolving (0 rounds: 0 fast, 0 medium, 0 exhaustive):
 0 deleted vars, 0 deleted constraints, 0 added constraints, 0 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques, 0 implied integral variables (0 bin, 0 int, 0 cont)
presolved problem has 451 variables (420 bin, 0 int, 31 cont) and 1380 constraints
   1380 constraints of type <linear>
Presolving Time: 0.00
transformed 1/1 original solutions to the transformed problem space

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  0.0s|     1 |     0 |   452 |     - |  6039k |   0 | 451 |1380 |1380 |   0 |  0 |   0 |   0 | 3.000000e+01 | 6.210000e+01 | 107.00%| unknown
  0.1s|     1 |     2 |   591 |     - |  6149k |   0 | 451 |1380 |1380 |   0 |  0 |   0 |  37 | 3.000000e+01 | 6.210000e+01 | 107.00%| unknown
  0.2s|   100 |    79 |  1706 |  12.7 |  6274k |  36 | 451 |1380 |1380 |   0 |  0 |   0 |  37 | 3.000000e+01 | 6.210000e+01 | 107.00%| unknown
  0.2s|   200 |   171 |  3205 |  13.8 |  6374k |  36 | 451 |1380 |1380 |   0 |  0 |   0 |  37 | 3.000000e+01 | 6.210000e+01 | 107.00%| unknown
  0.3s|   300 |   261 |  4371 |  13.1 |  6463k |  36 | 451 |1380 |1380 |   0 |  0 |   0 |  37 | 3.000000e+01 | 6.210000e+01 | 107.00%| unknown
  0.4s|   400 |   345 |  5472 |  12.6 |  6569k |  38 | 451 |1380 |1380 |   0 |  0 |   0 |  37 | 3.000000e+01 | 6.210000e+01 | 107.00%| unknown
  0.4s|   500 |   415 |  6532 |  12.2 |  6630k |  53 | 451 |1380 |1380 |   0 |  0 |   0 |  37 | 3.000000e+01 | 6.210000e+01 | 107.00%| unknown
  0.5s|   600 |   499 |  7621 |  12.0 |  6871k |  53 | 451 |1380 |1380 |   0 |  0 |   0 |  37 | 3.000000e+01 | 6.210000e+01 | 107.00%| unknown
  0.6s|   700 |   559 |  8598 |  11.7 |  6871k |  55 | 451 |1380 |1380 |   0 |  0 |   0 |  37 | 3.000000e+01 | 6.210000e+01 | 107.00%| unknown
  0.6s|   800 |   611 |  9591 |  11.4 |  7084k |  69 | 451 |1380 |1380 |   0 |  0 |   0 |  37 | 3.000000e+01 | 6.210000e+01 | 107.00%| unknown
