1/1 feasible solution given by solution candidate storage, new primal bound 9.920000e+01

presolving:
presolving (0 rounds: 0 fast, 0 medium, 0 exhaustive):
 0 deleted vars, 0 deleted constraints, 0 added constraints, 0 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques, 0 implied integral variables (0 bin, 0 int, 0 cont)
presolved problem has 951 variables (600 bin, 0 int, 351 cont) and 5425 constraints
   5425 constraints of type <linear>
Presolving Time: 0.00
transformed 1/1 original solutions to the transformed problem space

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  0.0s|     1 |     0 |   959 |     - |    15M |   0 | 951 |5425 |5425 |   0 |  0 |   0 |   0 | 4.300000e+01 | 9.920000e+01 | 130.70%| unknown
  0.3s|     1 |     2 |  1002 |     - |    16M |   0 | 951 |5425 |5425 |   0 |  0 |   0 |  37 | 4.300000e+01 | 9.920000e+01 | 130.70%| unknown
  0.5s|   100 |   101 |  1852 |   9.0 |    16M |  99 | 951 |5425 |5425 |   0 |  0 |   0 |  37 | 4.300000e+01 | 9.920000e+01 | 130.70%| unknown
  0.7s|   200 |   193 |  2881 |   9.7 |    16M | 195 | 951 |5425 |5425 |   0 |  0 |   0 |  37 | 4.300000e+01 | 9.920000e+01 | 130.70%| unknown
  0.9s|   300 |   287 |  3934 |   9.9 |    17M | 262 | 951 |5425 |5425 |   0 |  0 |   0 |  37 | 4.300000e+01 | 9.920000e+01 | 130.70%| unknown
  1.1s|   400 |   387 |  5069 |  10.3 |    18M | 262 | 951 |5425 |5425 |   0 |  0 |   0 |  37 | 4.300000e+01 | 9.920000e+01 | 130.70%| unknown
  2.1s|   500 |   481 | 26780 |  51.7 |    18M | 262 | 951 |5425 |5425 |   0 |  0 |   0 |  37 | 4.300000e+01 | 9.920000e+01 | 130.70%| unknown
  3.2s|   600 |   579 | 49157 |  80.5 |    18M | 262 | 951 |5425 |5425 |   0 |  0 |   0 |  37 | 4.300000e+01 | 9.920000e+01 | 130.70%| unknown
  3.8s|   700 |   669 | 59627 |  83.9 |    19M | 262 | 951 |5425 |5425 |   0 |  0 |   0 |  37 | 4.300000e+01 | 9.920000e+01 | 130.70%| unknown
  4.3s|   800 |   769 | 69115 |  85.3 |    19M | 262 | 951 |5425 |5425 |   0 |  0 |   0 |  37 | 4.300000e+01 | 9.920000e+01 | 130.70%| unknown
  5.1s|   900 |   865 | 87748 |  96.5 |    19M | 262 | 951 |5425 |5425 |   0 |  0 |   0 |  37 | 4.300000e+01 | 9.920000e+01 | 130.70%| unknown
  5.8s|  1000 |   963 |101165 | 100.3 |    19M | 262 | 951 |5425 |5425 |   0 |  0 |   0 |  37 | 4.300000e+01 | 9.920000e+01 | 130.70%| unknown
  6.4s|  1100 |  1061 |112409 | 101.4 |    20M | 262 | 951 |5425 |5425 |   0 |  0 |   0 |  37 | 4.300000e+01 | 9.920000e+01 | 130.70%| unknown
  6.9s|  1200 |  1159 |121855 | 100.8 |    20M | 262 | 951 |5425 |5425 |   0 |  0 |   0 |  37 | 4.300000e+01 | 9.920000e+01 | 130.70%| unknown
  7.4s|  1300 |  1253 |130843 | 100.0 |    20M | 262 | 951 |5425 |5425 |   0 |  0 |   0 |  37 | 4.300000e+01 | 9.920000e+01 | 130.70%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  8.3s|  1400 |  1345 |148695 | 105.6 |    20M | 262 | 951 |5425 |5425 |   0 |  0 |   0 |  37 | 4.300000e+01 | 9.920000e+01 | 130.70%| unknown
  9.0s|  1500 |  1435 |164976 | 109.4 |    20M | 262 | 951 |5425 |5425 |   0 |  0 |   0 |  37 | 4.300000e+01 | 9.920000e+01 | 130.70%| unknown
  9.9s|  1600 |  1529 |180745 | 112.4 |    20M | 262 | 951 |5425 |5425 |   0 |  0 |   0 |  37 | 4.300000e+01 | 9.920000e+01 | 130.70%| unknown
 10.3s|  1700 |  1627 |187192 | 109.6 |    20M | 262 | 951 |5425 |5425 |   0 |  0 |   0 |  37 | 4.300000e+01 | 9.920000e+01 | 130.70%| unknown
 11.2s|  1800 |  1715 |205193 | 113.5 |    20M | 262 | 951 |5425 |5425 |   0 |  0 |   0 |  37 | 4.300000e+01 | 9.920000e+01 | 130.70%| unknown
 12.6s|  1900 |  1801 |235207 | 123.4 |    20M | 262 | 951 |5425 |5425 |   0 |  0 |   0 |  37 | 4.300000e+01 | 9.920000e+01 | 130.70%| unknown
 13.7s|  2000 |  1885 |258802 | 129.0 |    21M | 262 | 951 |5425 |5425 |   0 |  0 |   0 |  37 | 4.300000e+01 | 9.920000e+01 | 130.70%| unknown
 14.4s|  2100 |  1965 |275638 | 130.9 |    21M | 262 | 951 |5425 |5425 |   0 |  0 |   0 |  37 | 4.300000e+01 | 9.920000e+01 | 130.70%| unknown
 15.3s|  2200 |  2049 |295599 | 134.0 |    21M | 262 | 951 |5425 |5425 |   0 |  0 |   0 |  37 | 4.300000e+01 | 9.920000e+01 | 130.70%| unknown
