1/1 feasible solution given by solution candidate storage, new primal bound 7.810000e+01

presolving:
presolving (0 rounds: 0 fast, 0 medium, 0 exhaustive):
 0 deleted vars, 0 deleted constraints, 0 added constraints, 0 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques, 0 implied integral variables (0 bin, 0 int, 0 cont)
presolved problem has 451 variables (420 bin, 0 int, 31 cont) and 1380 constraints
   1380 constraints of type <linear>
Presolving Time: 0.00
transformed 1/1 original solutions to the transformed problem space

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  0.0s|     1 |     0 |   449 |     - |  6039k |   0 | 451 |1380 |1380 |   0 |  0 |   0 |   0 | 4.500000e+01 | 7.810000e+01 |  73.56%| unknown
  0.1s|     1 |     2 |   636 |     - |  6146k |   0 | 451 |1380 |1380 |   0 |  0 |   0 |  37 | 4.500000e+01 | 7.810000e+01 |  73.56%| unknown
  0.1s|   100 |    67 |  1467 |  10.3 |  6233k |  39 | 451 |1380 |1380 |   0 |  0 |   0 |  37 | 4.500000e+01 | 7.810000e+01 |  73.56%| unknown
  0.2s|   200 |   113 |  2107 |   8.3 |  6351k |  53 | 451 |1380 |1380 |   0 |  0 |   0 |  37 | 4.500000e+01 | 7.810000e+01 |  73.56%| unknown
  0.3s|   300 |   189 |  3121 |   8.9 |  6427k |  53 | 451 |1380 |1380 |   0 |  0 |   0 |  37 | 4.500000e+01 | 7.810000e+01 |  73.56%| unknown
  0.3s|   400 |   267 |  4116 |   9.2 |  6587k |  53 | 451 |1380 |1380 |   0 |  0 |   0 |  37 | 4.500000e+01 | 7.810000e+01 |  73.56%| unknown
  0.4s|   500 |   337 |  4806 |   8.7 |  6739k |  67 | 451 |1380 |1380 |   0 |  0 |   0 |  37 | 4.500000e+01 | 7.810000e+01 |  73.56%| unknown
  0.4s|   600 |   405 |  5776 |   8.9 |  6739k |  67 | 451 |1380 |1380 |   0 |  0 |   0 |  37 | 4.500000e+01 | 7.810000e+01 |  73.56%| unknown
  0.5s|   700 |   469 |  6865 |   9.2 |  6804k |  67 | 451 |1380 |1380 |   0 |  0 |   0 |  37 | 4.500000e+01 | 7.810000e+01 |  73.56%| unknown
  0.6s|   800 |   517 |  7966 |   9.4 |  6901k |  67 | 451 |1380 |1380 |   0 |  0 |   0 |  37 | 4.500000e+01 | 7.810000e+01 |  73.56%| unknown
  0.6s|   900 |   551 |  8982 |   9.5 |  6901k |  67 | 451 |1380 |1380 |   0 |  0 |   0 |  37 | 4.500000e+01 | 7.810000e+01 |  73.56%| unknown
