1/1 feasible solution given by solution candidate storage, new primal bound 1.062000e+02

presolving:
presolving (0 rounds: 0 fast, 0 medium, 0 exhaustive):
 0 deleted vars, 0 deleted constraints, 0 added constraints, 0 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques, 0 implied integral variables (0 bin, 0 int, 0 cont)
presolved problem has 1251 variables (1200 bin, 0 int, 51 cont) and 5725 constraints
   5725 constraints of type <linear>
Presolving Time: 0.00
transformed 1/1 original solutions to the transformed problem space

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
 14.9s|  2900 |  2597 |281286 |  96.5 |    25M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 15.4s|  3000 |  2677 |289942 |  96.1 |    25M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 15.8s|  3100 |  2755 |296058 |  95.0 |    26M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 16.2s|  3200 |  2833 |303771 |  94.5 |    26M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 16.5s|  3300 |  2899 |308166 |  92.9 |    26M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 16.9s|  3400 |  2957 |315248 |  92.3 |    27M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 17.4s|  3500 |  3045 |324041 |  92.1 |    27M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 17.8s|  3600 |  3115 |329304 |  91.1 |    27M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 18.2s|  3700 |  3187 |336386 |  90.5 |    27M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 18.6s|  3800 |  3255 |344713 |  90.3 |    27M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 19.1s|  3900 |  3319 |351714 |  89.8 |    27M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 19.5s|  4000 |  3395 |359043 |  89.4 |    27M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 20.0s|  4100 |  3459 |366915 |  89.1 |    27M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 20.4s|  4200 |  3529 |374596 |  88.8 |    28M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 20.9s|  4300 |  3593 |382908 |  88.7 |    28M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
 21.3s|  4400 |  3663 |390505 |  88.4 |    28M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 21.7s|  4500 |  3727 |396413 |  87.8 |    28M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 22.1s|  4600 |  3795 |403282 |  87.3 |    28M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 22.5s|  4700 |  3855 |409490 |  86.8 |    28M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 23.0s|  4800 |  3909 |417795 |  86.7 |    28M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 23.4s|  4900 |  3973 |424342 |  86.3 |    29M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 23.8s|  5000 |  4025 |429861 |  85.7 |    29M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 24.2s|  5100 |  4097 |436290 |  85.2 |    29M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 24.6s|  5200 |  4149 |442438 |  84.8 |    29M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 25.1s|  5300 |  4199 |448618 |  84.4 |    29M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 25.4s|  5400 |  4257 |454993 |  84.0 |    30M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 25.8s|  5500 |  4311 |460574 |  83.5 |    30M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 26.2s|  5600 |  4373 |467480 |  83.2 |    30M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 26.7s|  5700 |  4427 |474243 |  82.9 |    30M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 27.1s|  5800 |  4487 |481855 |  82.8 |    30M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
 27.5s|  5900 |  4541 |488056 |  82.5 |    30M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 27.9s|  6000 |  4593 |492976 |  81.9 |    30M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 28.2s|  6100 |  4649 |498770 |  81.5 |    30M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 28.6s|  6200 |  4699 |504999 |  81.2 |    30M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 29.0s|  6300 |  4749 |510229 |  80.7 |    30M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 29.5s|  6400 |  4801 |518374 |  80.8 |    31M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 29.9s|  6500 |  4849 |524025 |  80.4 |    31M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 30.3s|  6600 |  4909 |531815 |  80.3 |    31M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 30.7s|  6700 |  4951 |537928 |  80.1 |    31M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 31.0s|  6800 |  4987 |542255 |  79.5 |    31M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 31.4s|  6900 |  5051 |548721 |  79.3 |    32M | 101 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 31.7s|  7000 |  5117 |555347 |  79.1 |    32M | 134 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 32.0s|  7100 |  5159 |558855 |  78.5 |    32M | 134 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 32.4s|  7200 |  5229 |564706 |  78.2 |    32M | 153 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 32.8s|  7300 |  5291 |571665 |  78.1 |    32M | 153 |1251 |5725 |5725 |   0 |  0 |   0 |  47 | 3.400000e+01 | 1.062000e+02 | 212.35%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
