1/1 feasible solution given by solution candidate storage, new primal bound 6.210000e+01

presolving:
presolving (0 rounds: 0 fast, 0 medium, 0 exhaustive):
 0 deleted vars, 0 deleted constraints, 0 added constraints, 0 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques, 0 implied integral variables (0 bin, 0 int, 0 cont)
presolved problem has 451 variables (420 bin, 0 int, 31 cont) and 1590 constraints
   1590 constraints of type <linear>
Presolving Time: 0.00
transformed 1/1 original solutions to the transformed problem space

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  0.0s|     1 |     0 |   502 |     - |  6755k |   0 | 451 |1590 |1590 |   0 |  0 |   0 |   0 | 3.200000e+01 | 6.210000e+01 |  94.06%| unknown
  0.5s|     1 |     2 |   644 |     - |  6896k |   0 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%| unknown
  1.4s|   100 |    97 | 36082 | 359.4 |  7011k |  25 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%| unknown
  1.9s|   200 |   169 | 64205 | 320.1 |  7126k |  55 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%| unknown
  2.4s|   300 |   227 | 84112 | 279.6 |  7157k |  65 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%| unknown
  2.9s|   400 |   299 |108487 | 270.6 |  7284k |  65 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%| unknown
  3.5s|   500 |   383 |136521 | 272.6 |  7448k |  65 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%| unknown
  4.0s|   600 |   469 |161078 | 268.1 |  7480k |  65 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%| unknown
  4.8s|   700 |   529 |195939 | 279.6 |  7512k |  65 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
  5.5s|   800 |   589 |224693 | 280.6 |  7717k |  65 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
  5.6s|   900 |   673 |232127 | 257.6 |  7717k |  65 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
  5.7s|  1000 |   733 |235362 | 235.1 |  7840k |  75 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
  5.8s|  1100 |   799 |238166 | 216.3 |  7840k |  75 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
  5.9s|  1200 |   859 |240344 | 200.0 |  7840k |  75 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
  6.0s|  1300 |   903 |243128 | 186.8 |  8103k |  75 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  6.1s|  1400 |   949 |245570 | 175.2 |  8135k |  75 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
  6.2s|  1500 |   991 |247957 | 165.1 |  8135k |  75 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
  6.5s|  1600 |  1047 |265312 | 165.6 |  8692k |  75 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
  7.0s|  1700 |  1095 |284191 | 167.0 |  8692k |  75 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
  7.3s|  1800 |  1151 |297370 | 165.0 |  9166k |  75 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
  7.4s|  1900 |  1209 |300265 | 157.9 |  9166k |  77 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
  7.4s|  2000 |  1255 |302520 | 151.1 |  9166k |  85 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
  7.7s|  2100 |  1299 |315318 | 150.0 |  9166k |  85 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
  7.8s|  2200 |  1331 |317695 | 144.2 |  9412k |  85 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
  8.0s|  2300 |  1367 |325007 | 141.2 |  9412k |  98 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
  8.1s|  2400 |  1397 |327553 | 136.3 |  9412k | 107 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
  8.2s|  2500 |  1459 |329947 | 131.8 |  9412k | 107 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
  8.3s|  2600 |  1509 |332614 | 127.8 |  9412k | 108 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
  8.5s|  2700 |  1555 |341505 | 126.3 |  9412k | 108 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
  8.9s|  2800 |  1593 |361545 | 129.0 |  9412k | 108 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  9.0s|  2900 |  1633 |363781 | 125.3 |  9412k | 108 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
  9.1s|  3000 |  1673 |365213 | 121.6 |  9412k | 108 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
  9.1s|  3100 |  1709 |366590 | 118.1 |  9412k | 108 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
  9.2s|  3200 |  1743 |368149 | 114.9 |  9412k | 108 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
  9.3s|  3300 |  1777 |370481 | 112.1 |  9412k | 108 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
  9.4s|  3400 |  1813 |372783 | 109.5 |  9541k | 112 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
  9.5s|  3500 |  1849 |374722 | 107.0 |  9607k | 112 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
  9.5s|  3600 |  1877 |376598 | 104.5 |  9607k | 112 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
  9.6s|  3700 |  1919 |378570 | 102.2 |  9607k | 113 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
  9.7s|  3800 |  1969 |380901 | 100.1 |  9607k | 113 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
  9.8s|  3900 |  2033 |382679 |  98.0 |  9607k | 113 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
  9.9s|  4000 |  2073 |384736 |  96.1 |  9607k | 113 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 10.0s|  4100 |  2111 |386569 |  94.2 |  9607k | 113 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 10.0s|  4200 |  2151 |388612 |  92.4 |  9738k | 113 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 10.1s|  4300 |  2187 |390564 |  90.7 |  9738k | 113 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
 10.2s|  4400 |  2237 |392335 |  89.1 |    10M | 113 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 10.3s|  4500 |  2267 |394139 |  87.5 |    10M | 113 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 10.4s|  4600 |  2301 |396286 |  86.1 |    10M | 113 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 10.9s|  4700 |  2339 |420381 |  89.4 |    10M | 113 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 11.5s|  4800 |  2375 |444748 |  92.6 |    10M | 113 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 11.8s|  4900 |  2407 |461062 |  94.0 |    10M | 113 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 12.3s|  5000 |  2453 |481962 |  96.3 |    11M | 113 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 12.6s|  5100 |  2491 |494362 |  96.9 |    11M | 113 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 12.7s|  5200 |  2525 |495732 |  95.3 |    11M | 125 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 12.7s|  5300 |  2565 |497170 |  93.7 |    11M | 128 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 12.8s|  5400 |  2601 |498782 |  92.3 |    11M | 128 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 12.9s|  5500 |  2645 |500218 |  90.9 |    11M | 128 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 13.0s|  5600 |  2685 |501875 |  89.5 |    11M | 128 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 13.0s|  5700 |  2715 |503407 |  88.2 |    11M | 128 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 13.1s|  5800 |  2751 |505395 |  87.1 |    11M | 128 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
 13.2s|  5900 |  2819 |507110 |  85.9 |    11M | 128 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 13.3s|  6000 |  2877 |509298 |  84.8 |    11M | 128 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 13.4s|  6100 |  2933 |511704 |  83.8 |    11M | 128 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 13.5s|  6200 |  2979 |513434 |  82.7 |    11M | 129 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 13.6s|  6300 |  3033 |518208 |  82.2 |    11M | 129 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 14.0s|  6400 |  3085 |535087 |  83.5 |    11M | 129 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 14.4s|  6500 |  3137 |554417 |  85.2 |    11M | 129 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 14.8s|  6600 |  3179 |570785 |  86.4 |    11M | 129 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 15.1s|  6700 |  3229 |585033 |  87.3 |    11M | 129 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 15.2s|  6800 |  3275 |586836 |  86.2 |    11M | 129 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 15.3s|  6900 |  3321 |588485 |  85.2 |    11M | 129 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 15.4s|  7000 |  3359 |590699 |  84.3 |    11M | 129 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 15.4s|  7100 |  3399 |592348 |  83.4 |    11M | 129 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 15.5s|  7200 |  3431 |594181 |  82.5 |    11M | 129 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 15.6s|  7300 |  3463 |595649 |  81.5 |    11M | 129 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
 15.7s|  7400 |  3499 |597438 |  80.7 |    11M | 129 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 15.7s|  7500 |  3531 |599151 |  79.8 |    11M | 129 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 15.8s|  7600 |  3569 |600753 |  79.0 |    11M | 129 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 15.9s|  7700 |  3607 |602493 |  78.2 |    11M | 129 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 16.0s|  7800 |  3633 |604465 |  77.4 |    11M | 129 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 16.0s|  7900 |  3661 |605839 |  76.6 |    11M | 129 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 16.3s|  8000 |  3693 |615697 |  76.9 |    12M | 129 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 16.4s|  8100 |  3711 |620737 |  76.6 |    12M | 134 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 16.7s|  8200 |  3747 |632014 |  77.0 |    12M | 134 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 17.1s|  8300 |  3785 |649172 |  78.2 |    12M | 134 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 17.7s|  8400 |  3835 |677974 |  80.7 |    12M | 134 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 18.1s|  8500 |  3891 |694283 |  81.6 |    12M | 134 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 18.7s|  8600 |  3929 |718798 |  83.5 |    12M | 134 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 18.9s|  8700 |  3965 |730285 |  83.9 |    12M | 134 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 19.0s|  8800 |  4013 |731859 |  83.1 |    12M | 134 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
 19.1s|  8900 |  4067 |733672 |  82.4 |    12M | 134 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 19.2s|  9000 |  4109 |735154 |  81.6 |    12M | 134 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 19.2s|  9100 |  4155 |737035 |  80.9 |    12M | 134 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 19.3s|  9200 |  4201 |738592 |  80.2 |    12M | 134 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 19.4s|  9300 |  4229 |740062 |  79.5 |    12M | 134 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 19.5s|  9400 |  4259 |741580 |  78.8 |    12M | 134 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 19.5s|  9500 |  4293 |743060 |  78.2 |    12M | 134 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 19.6s|  9600 |  4319 |744671 |  77.5 |    12M | 134 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 19.7s|  9700 |  4349 |745994 |  76.9 |    12M | 134 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 19.8s|  9800 |  4381 |748055 |  76.3 |    12M | 134 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 19.8s|  9900 |  4405 |749320 |  75.6 |    13M | 134 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 19.9s| 10000 |  4439 |750832 |  75.0 |    13M | 134 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 20.0s| 10100 |  4469 |752385 |  74.5 |    13M | 134 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 20.0s| 10200 |  4499 |753672 |  73.8 |    13M | 134 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 20.1s| 10300 |  4523 |754865 |  73.2 |    13M | 134 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
 20.2s| 10400 |  4557 |756265 |  72.7 |    13M | 134 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 20.3s| 10500 |  4591 |757659 |  72.1 |    13M | 134 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 20.3s| 10600 |  4617 |759005 |  71.6 |    13M | 134 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 20.4s| 10700 |  4653 |760387 |  71.0 |    13M | 134 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 20.5s| 10800 |  4689 |761934 |  70.5 |    13M | 134 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 20.5s| 10900 |  4723 |763250 |  70.0 |    13M | 134 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 20.6s| 11000 |  4745 |764500 |  69.5 |    13M | 134 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 20.7s| 11100 |  4773 |766029 |  69.0 |    13M | 134 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 20.8s| 11200 |  4797 |767121 |  68.5 |    13M | 134 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 20.8s| 11300 |  4825 |768675 |  68.0 |    13M | 134 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
 20.9s| 11400 |  4867 |770662 |  67.6 |    13M | 134 | 451 |1590 |1590 |   0 |  0 |   0 |  49 | 3.200000e+01 | 6.210000e+01 |  94.06%|   6.52%
